Situación profesional;Población;Tipo de dato;Ramas de actividad;Niveles y Tasas;Periodo;Total
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2025T3;23.005,6
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2025T2;22.417,7
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2025T1;22.153
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2024T4;22.273,4
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2024T3;22.398,5
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2024T2;21.769,9
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2024T1;21.563,8
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2023T4;21.760,9
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2023T3;21.949,3
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2023T2;21.361,6
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2023T1;20.956,2
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2022T4;20.975,6
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2022T3;21.183,9
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2022T2;20.717,3
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2022T1;20.434
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2021T4;20.430,6
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2021T3;20.464,3
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2021T2;19.819,4
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2021T1;19.575,7
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2020T4;19.698,2
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2020T3;19.624,1
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2020T2;18.922,5
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2020T1;20.023,2
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2019T4;20.596,6
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2019T3;20.734,4
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2019T2;20.529,7
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2019T1;20.007,7
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2018T4;20.123,9
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2018T3;20.279,8
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2018T2;19.954,6
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2018T1;19.395,3
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2017T4;19.643,5
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2017T3;19.881,6
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2017T2;19.533,4
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2017T1;18.990,7
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2016T4;19.124,2
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2016T3;19.339,3
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2016T2;19.025
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2016T1;18.562,3
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2015T4;18.756,5
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2015T3;18.933,3
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2015T2;18.645
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2015T1;18.124,4
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2014T4;18.253,7
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2014T3;18.363,4
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2014T2;18.111,1
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2014T1;17.642,2
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2013T4;17.867,6
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2013T3;18.093,1
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2013T2;17.952
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2013T1;17.714,9
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2012T4;18.043,4
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2012T3;18.387,4
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2012T2;18.448,5
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2012T1;18.358,7
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2011T4;18.891,6
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2011T3;19.208,4
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2011T2;19.303,5
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2011T1;19.117,3
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2010T4;19.538
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2010T3;19.738,5
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2010T2;19.638,9
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2010T1;19.507,8
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2009T4;19.728,9
Ocupado/a;Personas;Datos no ajustados de estacionalidad y calendario;Total;Dato base;2009T3;19.992,5
