Edad simple;Provincias;Sexo;Periodo;Total
Todas las edades;Total Nacional;Total;1 de octubre de 2025;49.442.844
Todas las edades;Total Nacional;Total;1 de julio de 2025;49.337.356
Todas las edades;Total Nacional;Total;1 de abril de 2025;49.202.075
Todas las edades;Total Nacional;Hombres;1 de octubre de 2025;24.274.864
Todas las edades;Total Nacional;Hombres;1 de julio de 2025;24.216.335
Todas las edades;Total Nacional;Hombres;1 de abril de 2025;24.143.803
Todas las edades;Total Nacional;Mujeres;1 de octubre de 2025;25.167.980
Todas las edades;Total Nacional;Mujeres;1 de julio de 2025;25.121.021
Todas las edades;Total Nacional;Mujeres;1 de abril de 2025;25.058.272
Todas las edades;02 Albacete;Total;1 de octubre de 2025;392.152
Todas las edades;02 Albacete;Total;1 de julio de 2025;391.028
Todas las edades;02 Albacete;Total;1 de abril de 2025;389.819
Todas las edades;02 Albacete;Hombres;1 de octubre de 2025;197.417
Todas las edades;02 Albacete;Hombres;1 de julio de 2025;196.628
Todas las edades;02 Albacete;Hombres;1 de abril de 2025;195.745
Todas las edades;02 Albacete;Mujeres;1 de octubre de 2025;194.735
Todas las edades;02 Albacete;Mujeres;1 de julio de 2025;194.400
Todas las edades;02 Albacete;Mujeres;1 de abril de 2025;194.074
Todas las edades;03 Alicante/Alacant;Total;1 de octubre de 2025;2.064.233
Todas las edades;03 Alicante/Alacant;Total;1 de julio de 2025;2.054.739
Todas las edades;03 Alicante/Alacant;Total;1 de abril de 2025;2.041.996
Todas las edades;03 Alicante/Alacant;Hombres;1 de octubre de 2025;1.022.702
Todas las edades;03 Alicante/Alacant;Hombres;1 de julio de 2025;1.017.703
Todas las edades;03 Alicante/Alacant;Hombres;1 de abril de 2025;1.010.835
Todas las edades;03 Alicante/Alacant;Mujeres;1 de octubre de 2025;1.041.531
Todas las edades;03 Alicante/Alacant;Mujeres;1 de julio de 2025;1.037.036
Todas las edades;03 Alicante/Alacant;Mujeres;1 de abril de 2025;1.031.161
Todas las edades;04 Almería;Total;1 de octubre de 2025;779.673
Todas las edades;04 Almería;Total;1 de julio de 2025;777.731
Todas las edades;04 Almería;Total;1 de abril de 2025;774.148
Todas las edades;04 Almería;Hombres;1 de octubre de 2025;399.258
Todas las edades;04 Almería;Hombres;1 de julio de 2025;398.205
Todas las edades;04 Almería;Hombres;1 de abril de 2025;396.125
Todas las edades;04 Almería;Mujeres;1 de octubre de 2025;380.415
Todas las edades;04 Almería;Mujeres;1 de julio de 2025;379.526
Todas las edades;04 Almería;Mujeres;1 de abril de 2025;378.023
Todas las edades;01 Araba/Álava;Total;1 de octubre de 2025;343.673
Todas las edades;01 Araba/Álava;Total;1 de julio de 2025;342.676
Todas las edades;01 Araba/Álava;Total;1 de abril de 2025;342.348
Todas las edades;01 Araba/Álava;Hombres;1 de octubre de 2025;169.398
Todas las edades;01 Araba/Álava;Hombres;1 de julio de 2025;168.828
Todas las edades;01 Araba/Álava;Hombres;1 de abril de 2025;168.747
Todas las edades;01 Araba/Álava;Mujeres;1 de octubre de 2025;174.275
Todas las edades;01 Araba/Álava;Mujeres;1 de julio de 2025;173.848
Todas las edades;01 Araba/Álava;Mujeres;1 de abril de 2025;173.601
Todas las edades;33 Asturias;Total;1 de octubre de 2025;1.020.009
Todas las edades;33 Asturias;Total;1 de julio de 2025;1.016.946
Todas las edades;33 Asturias;Total;1 de abril de 2025;1.015.166
